"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
1984,"Minnesota","MN",18,5,4,NA,9,67,13,6,NA,19,134,28,201,13.9
1983,"Minnesota","MN",19,5,4,NA,9,67,13,6,NA,19,134,28,201,13.9
1981,"Minnesota","MN",19,3,2,NA,5,67,13,6,NA,19,134,24,201,11.9
1979,"Minnesota","MN",24,NA,NA,NA,3,67,NA,NA,NA,15,134,18,201,9
1977,"Minnesota","MN",33,NA,NA,NA,2,67,NA,NA,NA,10,134,12,201,6
1975,"Minnesota","MN",40,NA,NA,NA,1,67,NA,NA,NA,7,134,8,201,4
2014,"Oklahoma","OK",48,2,2,NA,4,48,5,11,NA,16,101,20,149,13.4
2013,"Oklahoma","OK",48,2,2,NA,4,48,5,11,NA,16,101,20,149,13.4
2012,"Oklahoma","OK",48,3,2,NA,5,48,4,10,NA,14,101,19,149,12.8
2011,"Oklahoma","OK",49,3,1,NA,4,48,4,11,NA,15,101,19,149,12.8
2010,"Oklahoma","OK",49,5,0,NA,5,48,3,9,NA,12,101,17,149,11.4
2009,"Oklahoma","OK",49,5,0,NA,5,48,3,9,NA,12,101,17,149,11.4
2008,"Oklahoma","OK",49,6,1,NA,7,48,3,9,NA,12,101,19,149,12.8
2007,"Oklahoma","OK",48,6,1,NA,7,48,3,9,NA,12,101,19,149,12.8
2006,"Oklahoma","OK",45,7,1,NA,8,48,5,9,NA,14,101,22,149,14.8
2005,"Oklahoma","OK",44,6,2,NA,8,48,5,9,NA,14,101,22,149,14.8
2004,"Oklahoma","OK",46,6,2,NA,8,48,5,6,NA,11,101,19,149,12.8
2003,"Oklahoma","OK",47,4,2,NA,6,48,6,5,NA,11,101,17,149,11.4
2002,"Oklahoma","OK",49,3,3,NA,6,48,4,5,NA,9,101,15,149,10.1
2001,"Oklahoma","OK",49,3,3,NA,6,48,4,5,NA,9,101,15,149,10.1
2000,"Oklahoma","OK",49,4,2,NA,6,48,5,4,NA,9,101,15,149,10.1
1999,"Oklahoma","OK",49,4,2,NA,6,48,5,4,NA,9,101,15,149,10.1
1998,"Oklahoma","OK",48,4,2,NA,6,48,6,3,NA,9,101,15,149,10.1
1997,"Oklahoma","OK",48,4,2,NA,6,48,6,3,NA,9,101,15,149,10.1
1996,"Oklahoma","OK",48,5,2,NA,7,48,6,3,NA,9,101,16,149,10.7
1995,"Oklahoma","OK",47,5,2,NA,7,48,6,3,NA,9,101,16,149,10.7
1994,"Oklahoma","OK",48,5,1,NA,6,48,4,3,NA,7,101,13,149,8.7
